node,cpu,mem,cpu_percent,mem_percent
audiomxd,0,6529,0.0,0.00000
MySQLWorkbench,0,184320.0,0.0,0.00000
Google,8,1,Chrome,sleeping
LoginItems,0,24576.0,0.0,0.00000
grafana,0,716800.0,0.0,0.00000
logd_reporter,0,1761,0.0,0.00000
IMAutomaticHisto,0,4225,0.0,0.00000
mbuseragent,0,2385,0.0,0.00000
Google,3,1,Chrome,sleeping
Terminal,0,52224.0,0.0,0.00000
Google,7,1,Chrome,sleeping
cron,0,1537,0.0,0.00000
DesktopServicesH,0,2401,0.0,0.00000
com.apple.WebKit,0,9986,0.0,0.00000
studentd,0,13312.0,0.0,0.00000
ClassroomSetting,0,8226,0.0,0.00000
VPN,0,8178,0.0,0.00000
FollowUpSettings,0,8274,0.0,0.00000
HeadphoneSetting,0,7937,0.0,0.00000
FamilySettings,0,13312.0,0.0,0.00000
Appearance,0,21504.0,0.0,0.00000
AppleIDSettings,0,20480.0,0.0,0.00000
System,0,338,Settings,*0[2306]
Google,7,1,Chrome,sleeping
CharacterPalette,0,71680.0,0.0,0.00000
Google,3,1,Chrome,sleeping
Google,3,1,Chrome,sleeping
VTDecoderXPCServ,0,17408.0,0.0,0.00000
Python,0,31744.0,0.0,0.00000
photoanalysisd,0,13312.0,0.0,0.00000
Freeform,0,69632.0,0.0,0.00000
iCloudNotificati,0,10240.0,0.0,0.00000
AppleSpell,0,44032.0,0.0,0.00000
homed,0,23552.0,0.0,0.00000
assistantd,0,25600.0,0.0,0.00000
warmd,0,2593,0.0,0.00000
com.apple.WebKit,0,49152.0,0.0,0.00000
caphost,0,10240.0,0.0,0.00000
com.apple.WebKit,0,18432.0,0.0,0.00000
ZoomClips,0,63488.0,0.0,0.00000
com.apple.WebKit,0,91136.0,0.0,0.00000
com.apple.WebKit,0,103424.0,0.0,0.00000
com.apple.WebKit,0,75776.0,0.0,0.00000
com.apple.WebKit,0,28672.0,0.0,0.00000
caphost,0,10240.0,0.0,0.00000
zoom.us,0,413696.0,0.0,0.00000
WhatsApp,0,333824.0,0.0,0.00000
mysqld,0,567296.0,0.0,0.00000
zsh,0,3233,0.0,0.00000
fsnotifier,0,3729,0.0,0.00000
pycharm,0,3364864.0,0.0,0.00000
usernoted,0,11264.0,0.0,0.00000
ControlCenter,0,63488.0,0.0,0.00000
com.apple.dock.e,0,15360.0,0.0,0.00000
Dock,0,88064.0,0.0,0.00000
NotificationCent,0,47104.0,0.0,0.00000
heard,0,7553,0.0,0.00000
UserNotification,0,13312.0,0.0,0.00000
Google,23670,1,Chrome,sleeping
Google,6,1,Chrome,sleeping
Google,3,1,Chrome,sleeping
Google,3,1,Chrome,sleeping
Google,12,1,Chrome,sleeping
chrome_crashpad_,0,2017,0.0,0.00000
chrome_crashpad_,0,2593,0.0,0.00000
Google,0,1263,Chrome,*72[13774]
com.apple.Safari,0,6418,0.0,0.00000
USBAgent,0,2001,0.0,0.00000
MobileDeviceUpda,0,8226,0.0,0.00000
trustd,0,10240.0,0.0,0.00000
trustd,0,13312.0,0.0,0.00000
taskgated,0,2081,0.0,0.00000
distnoted,0,1409,0.0,0.00000
universalAccessA,0,9634,0.0,0.00000
PasswordBreachAg,0,6337,0.0,0.00000
UsageTrackingAge,0,8161,0.0,0.00000
cloudd,0,19456.0,0.0,0.00000
fbahelperd,0,2513,0.0,0.00000
suhelperd,0,13312.0,0.0,0.00000
